component_package,what_it_does,pages_using_count,pages_using,presentation_only_or_behavior,has_view,has_viewmodel,has_contract,has_fixtures,preview_route,shared_foundation,notes
components/ScrollControls.jsx,Fixed-position scroll-to-top and scroll-to-bottom buttons.,13,/characters; /characters/[...slug]; /chronicle; /factions; /factions/[...slug]; /intro; /locations; /locations/[...slug]; /lore; /lore/[...slug]; /stories; /terms; /terms/[slug],presentation_only,no,no,no,no,,yes,Client component with window.scrollTo calls; pure UI interaction
components/SiteShell.jsx,"Main layout wrapper with background image, gradient scrim, and scroll controls.",13,/characters; /characters/[...slug]; /chronicle; /factions; /factions/[...slug]; /intro; /locations; /locations/[...slug]; /lore; /lore/[...slug]; /stories; /terms; /terms/[slug],presentation_only,no,no,no,no,,yes,Layout component composing SiteHeader and ScrollControls
components/studio/create/structured-registry/registry-linked-creation-picker,Modal for picking creations by type with search and selection callbacks.,13,/studio/create/actor-mechanics-profile; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/pose; /studio/create/quest-registry; /studio/create/room-template; /studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/actor-mechanics-profile-builder,yes,behavior_signal: true; confirmed by fetchOwnedCreations import in view model
components/studio/create/structured-registry/RegistryLinkedCreationPickerModal.jsx,Modal for selecting and filtering creations to link into registry entries.,13,/studio/create/actor-mechanics-profile; /studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/item-registry; /studio/create/location; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/pose; /studio/create/quest-registry; /studio/create/room-template; /studio/my-creations/[id]/edit,behavior,no,no,no,no,/dev/ui-preview/actor-mechanics-profile-builder,yes,View model imports fetchOwnedCreations from lib/client; fetches data on mount
components/studio/registries/structuredRegistryConfigs.js,"Configuration constants for registry types, field definitions, and default values.",11,/studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/location; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/pose; /studio/create/quest-registry; /studio/create/room-template; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,yes,Configuration module with frozen objects
components/studio/registries/structuredRegistryUtils.js,"Utility functions for registry entry normalization, validation, and data transformation.",11,/studio/create/event-registry; /studio/create/faction-registry; /studio/create/image-preset; /studio/create/location; /studio/create/npc-registry; /studio/create/organization-registry; /studio/create/outfit; /studio/create/pose; /studio/create/quest-registry; /studio/create/room-template; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,yes,Pure utility module; no data fetching or mutations
components/ui/ModalShell.jsx,Reusable modal container with backdrop and escape key handling.,11,/studio/community; /studio/create/actor-mechanics-profile; /studio/create/lore; /studio/create/mechanics-module; /studio/create/progression-profile; /studio/create/rules-codex; /studio/create/stats-pools-profile; /studio/image-studio; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/profile/[username],presentation_only,no,no,no,no,/dev/ui-preview/actor-mechanics-profile-builder,yes,Presentation wrapper; manages only modal UI interactions
components/blocks/CalloutBlock.jsx,Renders a callout box with title and paragraph body.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,yes,Simple presentation block
components/blocks/DividerBlock.jsx,Renders a decorative divider line.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,yes,Minimal presentation block
components/blocks/ExcerptBlock.jsx,Renders a bordered excerpt section with optional title and italic body.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,yes,Simple presentation block
components/blocks/HeadingBlock.jsx,Renders a heading at level 2 or 3 with styled typography.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Simple presentation block
components/blocks/ImageBlock.jsx,Renders an image with optional caption and size/alignment control.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Presentation block using Next Image component
components/blocks/InlineQuoteBlock.jsx,Renders an inline quote with attribution in smaller format.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Simple presentation block
components/blocks/PullQuoteBlock.jsx,Renders a pull quote with optional attribution.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Simple presentation block
components/blocks/QuoteBlock.jsx,Renders a centered block quote with optional attribution.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Simple presentation block
components/blocks/SidebarBlock.jsx,"Renders a sidebar block with title, body text, and item list.",9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Simple presentation block
components/blocks/StatBlock.jsx,Renders a definition list of stats/references with labels and values.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Simple presentation block
components/blocks/StoryExcerptBlock.jsx,Renders a story excerpt with optional image positioned left/right/top/bottom and text.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Responsive presentation block with conditional image layout
components/blocks/TextBlock.jsx,"Renders paragraphed text with optional title, drop cap, and indentation.",9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Presentation block with CSS styling for typography effects
components/blocks/TwoColumnBlock.jsx,Renders a two-column grid layout containing nested block renderer components.,9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Layout block composing LoreBlockRenderer recursively
components/LoreBlockRenderer.jsx,"Renders an array of content blocks (text, headings, quotes, images, etc.) with type switching.",9,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug]; /studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,no,no,no,no,/dev/ui-preview/lore-builder,no,Block composition component; no data fetching
components/studio/creations/creation-share-button,Button that copies a creation's share URL to clipboard with visual feedback.,7,/studio/community; /studio/create/lore; /studio/creations/[id]; /studio/my-creations; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview; /studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/creation-share-button,no,Uses native clipboard API; no data fetching or server mutations
components/LoreCard.jsx,"Card component displaying lore entry with image, eyebrow, title, and text.",6,/; /characters; /chronicle; /factions; /locations; /stories,presentation_only,no,no,no,no,,no,Styled card linking to lore entry; uses Next Image
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-module-picker,Mechanics module picker modal with search filtering and selection callbacks.,6,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit; /studio/story-rooms/[id],behavior,yes,yes,yes,yes,/dev/ui-preview/mechanics-module-picker,no,behavior_signal: true; confirmed by data-fetching view model
components/studio/my-creations/edit/sections/mechanics-modules/MechanicsModulePickerModal.jsx,Modal for searching and selecting mechanics modules from owned or community creations.,6,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit; /studio/story-rooms/[id],behavior,no,no,no,no,,no,View model imports fetchCommunityCreations and fetchOwnedCreations; fetches data on type change
components/Breadcrumbs.jsx,Renders navigation breadcrumbs with path segments and current title.,5,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug],presentation_only,no,no,no,no,,no,Pure presentation component with label formatting utility
components/DetailPage.jsx,"Page template rendering a lore entry with blocks, breadcrumbs, back button, and related records.",5,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug],presentation_only,no,no,no,no,,no,Composition and rendering of static entry data; no fetching
components/filterable-index,"Index page with filter controls, search, and grid of lore cards for entries.",5,/characters; /chronicle; /factions; /locations; /stories,presentation_only,yes,yes,yes,yes,/dev/ui-preview/filterable-index,no,Uses Next router and search params but filters local data; no backend fetching
components/FloatingBackButton.jsx,Fixed-position button that navigates back using Next router.,5,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug],presentation_only,no,no,no,no,,no,Navigation-only component; uses useRouter
components/RelatedRecords.jsx,Renders a list of related lore records as linked cards.,5,/characters/[...slug]; /factions/[...slug]; /intro; /locations/[...slug]; /lore/[...slug],presentation_only,no,no,no,no,,no,Simple presentation component rendering link list
components/studio/account/account-stub-page,Placeholder account settings page with notice that controls are not yet functional.,5,/studio/account/appearance; /studio/account/notifications; /studio/account/privacy; /studio/account/safety; /studio/account/subscription,presentation_only,yes,no,yes,yes,/dev/ui-preview/account-stub-page,no,Stub page re-exporting view with static notice text
components/studio/create/structured-registry/structured-registry-builder,Builder interface for creating/editing structured registries with tab navigation and linked creation picker.,5,/studio/create/event-registry; /studio/create/faction-registry; /studio/create/organization-registry; /studio/create/quest-registry; /studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/structured-registry-builder,no,Uses useStructuredRegistryBuilder hook which calls createCreationDraft
components/studio/creations/pickers/creation-picker-panel,"Renders a searchable grid of creation items with selection, disabled, and recommended states",5,/studio/create/location-registry; /studio/create/npc-registry; /studio/create/room-template; /studio/image-studio; /studio/my-creations/[id]/edit,presentation_only,yes,no,yes,yes,/dev/ui-preview/creation-picker-panel,no,
components/studio/my-creations/edit/sections/locations/location-parent-picker,Modal for selecting a parent location to create hierarchical location relationships.,5,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/location-parent-picker,no,View model imports fetchOwnedCreations; fetches locations on mount
components/studio/my-creations/edit/sections/locations/location-registry-attachments-section,"Section for attaching event, quest, NPC, item, location, faction, and organization registries to a location.",5,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/location-registry-attachments-section,no,Manages local state for registry group picker modal; builds links from bound registry data
components/studio/my-creations/edit/sections/locations/location-runtime-modules-section,"Section for attaching and configuring runtime modules (weather, time/calendar) to a location.",5,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/location-runtime-modules-section,no,Manages modal open state and module configuration bindings; no data fetching
components/studio/my-creations/edit/sections/locations/LocationParentPickerModal.jsx,"Modal component that lets users search and select a parent location from their owned locations, fetching the list on mount.",5,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit,behavior,no,no,no,no,,no,Fetches owned locations via fetchOwnedCreations in the view model.
components/studio/my-creations/edit/sections/locations/weather-module-config-modal,"Modal for configuring in-world weather conditions, climate behavior, and composer guidance.",5,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/weather-module-config-modal,no,"View model imports createEngineModuleInstance, fetchEngineModuleInstance, updateEngineModuleInstance from lib/client"
components/studio/my-creations/edit/sections/mechanics-modules/RuntimeMechanicsModulesSection.jsx,Section for attaching and managing runtime mechanics modules with priority and scope controls.,5,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,Manages local state for mechanics picker modal; manipulates binding array via updateDataField callback
components/studio/my-creations/edit/sections/SharedFields.jsx,"Shared form field components (SectionTitle, TextField, TextAreaField) for edit sections.",5,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/character-advanced-section,no,Pure presentation library of reusable form components
components/studio/registries/hooks/useStructuredRegistryBuilder.js,"Hook managing structured registry entry CRUD, state, and persistence.",5,/studio/create/event-registry; /studio/create/faction-registry; /studio/create/organization-registry; /studio/create/quest-registry; /studio/my-creations/[id]/edit,behavior,no,no,no,no,,no,behavior_signal: true; imports createCreationDraft from lib/client; mutates data on save
components/studio/create/assets/assetBuilderConfigs.js,Configuration constants for asset builder types and their properties,4,/studio/create/image-preset; /studio/create/location; /studio/create/outfit; /studio/create/pose,presentation_only,no,no,no,no,/dev/ui-preview/asset-builder,no,
components/studio/create/character/constants/characterColorPalettes.js,Constants file with character color palette definitions,4,/studio/create/character; /studio/create/player-character; /studio/my-creations/[id]/edit; /studio/story-rooms/[id],presentation_only,no,no,no,no,/dev/ui-preview/character-review-step,no,
components/studio/create/character/constants/constants.js,"Constants file exporting option arrays for character creation (species, gender, roles, traits, etc.)",4,/studio/create/character; /studio/create/character-template; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/character-review-step,no,
components/studio/create/character/skin-tone,Modal for selecting character skin tone,4,/studio/create/character; /studio/create/character-template; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/skin-tone,no,
components/studio/create/character/SkinToneModal.jsx,Wrapper component for skin tone picker modal,4,/studio/create/character; /studio/create/character-template; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/character/trait,Modal for selecting character traits with custom trait entry option,4,/studio/create/character; /studio/create/character-template; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/trait-modal,no,
components/studio/create/character/TraitModal.jsx,Wrapper component that delegates to nested trait modal implementation,4,/studio/create/character; /studio/create/character-template; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/lore/lore-document-renderer,"Renders formatted lore documents with chapters, sections, and content blocks",4,/studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,presentation_only,yes,yes,yes,yes,/dev/ui-preview/lore-builder,no,
components/studio/create/lore/lore-editor,"Comprehensive lore editor that fetches owned/liked characters and locations, manages document structure and validation",4,/studio/create/lore; /studio/creations/[id]; /studio/my-creations/[id]/edit; /studio/my-creations/[id]/preview,behavior,yes,yes,yes,yes,/dev/ui-preview/lore-builder,no,"Fetches owned/community creations and reactions via fetchOwnedCreations, fetchCommunityCreations, fetchCreationReactions"
