page_route,page_purpose,block,control_label,control_type,what_it_does,component_package,shared_or_unique,binding_shell,viewmodel_or_hook,data_source,read_or_write,operation_name,ui_states_present,auth_required,status,notes,max_length,required,default_value,destination_page
/studio/* (studio shell),Shared chrome.,sidebar - primary nav,"Lore Archive, Studio Home, Create, Games, Stories, Image Studio, Official Characters, Storylines, My Creations, Community",link,Next.js Link navigation to the corresponding studio/site routes; active route highlighted via usePathname match.,components/studio/studio-sidebar,shared,StudioSidebar,useStudioSidebarViewModel,fixture,none,,none,yes,working,Link set is a hardcoded array in useStudioSidebarViewModel.js.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,sidebar - utility nav,"Feedback & Updates, Account, Terms & Policies",link,Next.js Link navigation to utility routes.,components/studio/studio-sidebar,shared,StudioSidebar,useStudioSidebarViewModel,fixture,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,sidebar - community links,Community Links (expand/collapse) / Discord,toggle,Toggles visibility of external social links section; Discord is an external anchor (target=_blank) to a fixed Discord channel URL.,components/studio/studio-sidebar,shared,StudioSidebar,useStudioSidebarViewModel,local_state,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,sidebar - account footer,Log out,link,Anchor to /logout which calls supabase.auth.signOut() server-side and redirects to site root.,components/studio/studio-sidebar,shared,StudioSidebar,useStudioSidebarViewModel,fe_api_route,write,GET /logout,none,yes,working,app/logout/route.js proxies to Supabase auth signOut.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,sidebar card / mobile header - economy widget,Coin balance display,display,Shows coin balance loaded from account snapshot. Buy Coins is no longer offered from shared chrome (removed from the top bar Phase 2; not replaced elsewhere).,components/studio/studio-economy-widget,shared,StudioEconomyWidget / StudioMobileNav,useStudioEconomyWidgetViewModel,fe_api_route,read,fetchCurrentStudioAccount GET /api/profile/me,loading (balance shows '...'),yes,working,"Buy Coins info modal removed from the top bar 8 Aug 2026 (Phase 2 restyle); coins now live only in the sidebar coins card and the mobile header, both untouched by that change.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,top bar (desktop),Search,input,"Presentation-only global search field, not yet wired to a search operation.",components/studio/studio-top-bar,shared,StudioTopBar,useStudioTopBarViewModel,none,none,,none,yes,stubbed,No search contract or endpoint exists yet; onSearchChange is a safe no-op until a CR is answered. See docs/CONTRACT-REQUESTS.md.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,top bar (desktop),Notifications,button,Opens a compact floating notification panel (ModalShell); idle icon with a gold-glow state when notifications exist. The panel's Open the notification center button switches to a full panel grouped by Today/Earlier.,components/studio/studio-top-bar,shared,StudioTopBar,useStudioTopBarViewModel,local_state,none,,"idle, hasNotifications, compact-open, full-open, empty",yes,stubbed,"No notification data source exists yet; the viewmodel still defaults to an empty list. The Shell (StudioTopBar.jsx) feeds a mock list from components/studio/studio-top-bar/studioTopBarNotifications.mock.js so the bell/panels can be reviewed; delete that file plus its one import to restore the honest empty default. Dismiss and Clear all are presentation-only no-ops. Real data needs a services-api contract (CR-017, frontend complete). See docs/CONTRACT-REQUESTS.md.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,top bar (desktop) / mobile header,Account,link,Navigates to /studio/account.,components/studio/studio-top-bar / studio-mobile-nav,shared,StudioTopBar / StudioMobileNav,useStudioTopBarViewModel / useStudioMobileNavViewModel,none,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,mobile nav - top header,Open menu / Close menu,button,Opens/closes the full-screen mobile drawer navigation.,components/studio/studio-mobile-nav,shared,StudioMobileNav,useStudioMobileNavViewModel,local_state,write,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/* (studio shell),Shared chrome.,mobile nav - bottom tab bar,5 bottom nav icons,link,Fixed bottom nav Link icons for quick route switching on phone width.,components/studio/studio-mobile-nav,shared,StudioMobileNav,useStudioMobileNavViewModel,fixture,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/stories/[...slug],Intended to present a single inserted-fiction story detail page; the route has no implementation.,page component,(none - file is empty),display,app/stories/[...slug]/page.js is a literal 0-byte file with no default export; Next.js has no valid page module for this route,app/stories/[...slug]/page.js,unique,page-inline,,none,none,,none,no,broken,Confirmed via wc -l returning 0 and ls -la showing 0 bytes; matches docs/REDESIGN-ORDER.md item 1 which already flags this as a dead route,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/profile,"Static, non-live self-profile placeholder showing the signed-in user's own creator page shell.",page head,Edit Soon,button,Nothing; the button is rendered with the disabled attribute and no onClick handler.,page-inline,unique,page-inline,,none,none,,none,no,stubbed,"Entire page is hardcoded fixture markup (featuredItems array, hand-typed stats string, static 'crestfallen' identity); no server/client data fetch exists anywhere in this file.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Explore > Creators
/studio/profile,"Static, non-live self-profile placeholder showing the signed-in user's own creator page shell.",tab bar,Featured / Characters / Storys / Images & Presets / Updates / Activity tabs,tabs,"Nothing; every tab button is rendered with the disabled attribute and no onClick handler, only the first is visually 'active'.",page-inline,unique,page-inline,,fixture,none,,none,no,stubbed,Tab labels are a hardcoded array; no tab switching logic exists.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Explore > Creators
/studio/profile,"Static, non-live self-profile placeholder showing the signed-in user's own creator page shell.",featured items grid,Featured item cards (Chronicle Update / Featured Story / Updated Character),display,Renders three hardcoded fixture articles; not connected to any real content.,page-inline,unique,page-inline,,fixture,none,,none,no,stubbed,"This is the /studio/profile route (signed-in user's own hub), distinct from the working /studio/profile/[username] public profile route below.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Explore > Creators
/stories,"Intended entry index into the inserted-fiction archive; currently ships as an empty, unfinished placeholder.",page head,Stories (title/eyebrow/lede),display,Static header text,app/stories/page.js,unique,page-inline,,fixture,read,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/stories,"Intended entry index into the inserted-fiction archive; currently ships as an empty, unfinished placeholder.",filter bar,Search / Realm / Faction filter controls,display,"FilterableIndex rendered against a hardcoded empty stories=[] array declared in the page component, so search/filter/tag controls render but always operate on zero entries",components/FilterableIndex.jsx,shared,FilterableIndex,useFilterableIndexViewModel,fixture,read,,"loading (Suspense fallback), empty (emptyText: No factions records match the selected filters, mismatched copy - says factions, not stories)",no,stubbed,"let stories = [] hardcoded in app/stories/page.js with no data source wired at all; a real stories dataset (like data/characters.js) does not exist yet, see nick[]",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/stories,"Intended entry index into the inserted-fiction archive; currently ships as an empty, unfinished placeholder.",coming soon panel,The fragments are still being catalogued. (coming soon block),display,Static explanatory copy indicating stories content is not yet populated,app/stories/page.js,unique,page-inline,,fixture,read,,none,no,stubbed,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,mobile toolbar drawer,Room Controls toggle,button,"Expands/collapses the mobile filter drawer (search, filters, view toggle).",components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,local_state,none,,none,no,working,mobileToolsOpen local state only.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,mobile toolbar drawer,Search rooms... (mobile),input,"Filters the room list client-side by title, subtitle, scenario, narrator, location, cast.",components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,local_state,none,,none,no,working,Filters normalized rooms already fetched; no server-side search call.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,mobile toolbar drawer,Active / Templates / Private / Archived filter pills,tabs,Switches which status/visibility bucket of rooms is shown.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,local_state,none,,none,no,working,Duplicated identically in desktop toolbar block.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,mobile toolbar drawer,View (grid/list),toggle,"Switches room list between grid card and compact list layout, persisted to localStorage.",components/studio/ViewModeToggle,shared,StoryRoomsHub,usePersistentViewMode,local_state,none,,none,no,working,Storage key crestfall.storyRooms.viewMode.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,mobile toolbar drawer,Start Room Soon,button,Disabled placeholder for a future direct room-start action.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,,none,none,,none,no,stubbed,"Always disabled, no handler.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,mobile toolbar drawer,New Template,link,Navigates to /studio/create/room-template to build a new room template.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,,none,none,,none,no,working,Static nav link; destination route is out of this assignment's scope.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,desktop toolbar,New Template,link,Navigates to /studio/create/room-template.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,,none,none,,none,no,working,Desktop duplicate of the mobile link.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,desktop toolbar,Open Latest Room / No Rooms Yet,link,Links into the most recently loaded room's chat workspace; renders a disabled button instead when the room list is empty.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,fe_api_route,read,storyRoomClient.fetchStoryRooms GET /api/studio/story-rooms,empty,yes,working,"latestRoomHref derived from rooms[0], so 'latest' is whatever order the API returned, not necessarily most-recently-active.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,desktop toolbar,Manage / Cancel Manage,button,Toggles bulk-select (manage) mode for deleting rooms; clears selection and delete error on exit.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,desktop toolbar,Delete Selected (n),button,"After a window.confirm, deletes every selected room one by one and removes them from the local list.",components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,fe_api_route,write,storyRoomClient.deleteStoryRoom DELETE /api/studio/story-rooms/[id],"loading, error",yes,working,Sequential per-id DELETE loop; partial failure leaves already-deleted rooms removed and stops with deleteError set.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,desktop toolbar,"Search rooms, scenarios, narrators, cast...",input,Client-side filters the loaded room list by text.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,desktop toolbar,Active / Templates / Private / Archived filter pills,tabs,"Same filter logic as the mobile pills, desktop copy.",components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,desktop toolbar,View (grid/list),toggle,"Same as mobile ViewModeToggle, desktop copy.",components/studio/ViewModeToggle,shared,StoryRoomsHub,usePersistentViewMode,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,room list surface,Load error banner,display,Shows the error message when fetchStoryRooms fails.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,fe_api_route,read,storyRoomClient.fetchStoryRooms GET /api/studio/story-rooms,error,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,room list surface,Delete error banner,display,Shows the error message when a bulk delete request fails.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,fe_api_route,write,storyRoomClient.deleteStoryRoom DELETE /api/studio/story-rooms/[id],error,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,room list surface,Room grid / list,display,"Renders each fetched room as a card or row; clicking navigates to the room's chat workspace, or (in manage mode) toggles its selection checkmark for bulk delete instead.",components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,fe_api_route,read,storyRoomClient.fetchStoryRooms GET /api/studio/story-rooms,"loading, empty, error",yes,working,GET proxies to services-api /v1/studio/story-rooms via crestfallApiRequest.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio/story-rooms,Library hub for continuing active Story rooms and starting new sessions from templates.,room list surface,No rooms found (empty state),display,Shown when the filtered room list is empty and not loading.,components/studio/story-rooms/story-rooms-hub,unique,StoryRoomsHub,useStoryRoomsHubViewModel,local_state,none,,empty,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Play > Stories
/studio,Studio home dashboard letting a player jump into play or open creator tools.,page head,Browse Games,link,Link to /studio/games.,page-inline,unique,page-inline,,none,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,page head,Community Stories,link,Link to /studio/community.,page-inline,unique,page-inline,,none,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,page head,Create Something,link,Link to /studio/create.,page-inline,unique,page-inline,,none,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,page head,"Search games, rooms, characters...",input,"Renders a text/search input with a placeholder; has no onChange, no state, no submit handler of any kind.",page-inline,unique,page-inline,,none,none,,none,yes,broken,"Not wired to anything at all: typing does nothing, no results, no navigation.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,Start Playing panel - card grid,Play Official Crestfall / Browse Games,link,Card links to /studio/games.,page-inline,unique,page-inline,,fixture,none,,none,yes,working,Card content (title/body/href/cta) comes from a hardcoded playActions array in the page file.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,Start Playing panel - card grid,Play Community Stories / Browse Community,link,Card links to /studio/community.,page-inline,unique,page-inline,,fixture,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,Start Playing panel - card grid,Follow Storylines / View Storylines,link,Card links to /studio/storylines.,page-inline,unique,page-inline,,fixture,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,Continue / Your Story State panel,View My Stuff,link,Link to /studio/my-creations.,page-inline,unique,page-inline,,none,none,,none,yes,working,"Panel copy states persistent player state/active rooms 'will live here as the runtime comes online' -- panel itself has no data-driven content, just this link.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,Create Your Own panel - card grid,Create Assets / Open Creation Studio,link,Card link to /studio/create.,page-inline,unique,page-inline,,fixture,none,,none,yes,working,Card content from hardcoded creatorActions array.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,Create Your Own panel - card grid,Manage My Creations / View My Work,link,Card link to /studio/my-creations.,page-inline,unique,page-inline,,fixture,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio,Studio home dashboard.,Create Your Own panel - card grid,Build Images / Open Image Studio,link,Card link to /studio/image-studio.,page-inline,unique,page-inline,,fixture,none,,none,yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Studio
/studio/create,"Landing hub for choosing how to start creating: quick-start cards, a guided step-by-step build path, or the full builder toolkit.",Mode selector,Quick Start / Guided Build / Full Studio,tabs,Switches the active view mode and persists the choice to localStorage.,components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,local_state,write,,none,no,working,Persists to localStorage key crestfall.creationStudio.mode.v1.,none,none,none,Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Quick Start view,Character / Player Character / Location / Outfit-Clothing cards,link,Navigates to the respective /studio/create/* builder route.,components/studio/create/create-type-card/CreateTypeCard.view.jsx,shared,CreationStudioExperience,useCreationStudioViewModel,fixture,none,,none,no,working,"Card data comes from data/creationAssets.js, a static fixture array.",none,none,none,Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Quick Start view,Build a Complete Story / View Every Tool,button,Switches mode to GUIDED or FULL.,components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,local_state,write,,none,no,working,,none,none,none,Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Guided Build view,Guided milestone progress counter,display,"Shows how many of 4 core / 25 total guided milestones are complete, computed from the user's owned creation counts by type.",components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,fe_api_route,read,fetchOwnedCreations GET /api/creations,"loading, error",yes,working,/api/creations proxies to services-api GET /v1/studio/creations; requires Supabase session or returns 401.,none,none,none,Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Guided Build view,View all tools,button,Switches mode to FULL.,components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,local_state,write,,none,no,working,,none,none,none,Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Guided Build view,Open My Creations,link,Navigates to /studio/my-creations.,components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,none,none,,none,no,working,,none,none,none,Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Guided Build view,Chapter accordion (Chapter 1-6),toggle,"Expands/collapses a <details> element listing that chapter's guided steps; auto-opens the current chapter, auto-closes completed ones.",components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,local_state,write,,none,no,working,,none,no,"false (closed) except the current-step chapter, which auto-opens",Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Guided Build view,Create <Asset Title> / Create Another / Create Second Story,link,Navigates to the target creation-type's builder route for the recommended or available guided step.,components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,fixture,none,,none,no,working,Target href comes from data/creationAssets.js and data/registryTypes.js fixtures; step definitions are hardcoded in CreationStudio.contract.mjs (25 steps across 6 chapters).,none,none,none,Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Guided Build view,Optional enhancement chips,link,"Navigates to an optional related asset builder (e.g. Outfit while on the Location step), showing an owned-count badge if any exist.",components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,fe_api_route,read,fetchOwnedCreations GET /api/creations,none,yes,working,,none,none,none,Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Full Studio view,"Section accordion (Characters & Visual Assets, Stories & Sessions, Worlds & Continuity, Rules & Mechanics, Templates & Generation)",toggle,Expands/collapses a <details> grouping of CreateTypeCard links for that category.,components/studio/create/creation-studio/CreationStudio.view.jsx,unique,CreationStudioExperience,useCreationStudioViewModel,local_state,write,,none,no,working,,none,no,"false (closed) except the current-step chapter, which auto-opens",Create > Studio
/studio/create,Landing hub for choosing how to start creating.,Full Studio view,Every builder/registry card,link,Navigates to each of the ~30 creation-type builder routes.,components/studio/create/create-type-card/CreateTypeCard.view.jsx,shared,CreationStudioExperience,useCreationStudioViewModel,fixture,none,,none,no,working,data/creationAssets.js and data/registryTypes.js; Lore Asset card is injected in code (LORE_CREATION_ASSET) rather than living in the fixture file.,none,none,none,Create > Studio
/studio/create/room-template,"Let a Studio creator assemble characters, a scenario, narrator, opening messages, multiplayer invitees, registry attachments, and room settings into a Story (room template) draft.",page head,Back to Create,link,Static nav link back to /studio/create.,components/studio/StudioBackLink,shared,page-inline,,none,none,,none,no,working,,none,none,none,Create > Studio
/studio/create/room-template,Build a Story (room template) draft.,builder sidebar,Save Draft,button,"Builds the full room template creation payload (form, characters, scenario/narrator/location, opening messages, invited players) and POSTs a ROOM_TEMPLATE creation draft, then routes to the edit page.",components/studio/create/room-template/room-template-builder/RoomTemplateBuilder.view.jsx,unique,RoomTemplateBuilderShell,useRoomTemplateBuilderViewModel,fe_api_route,write,roomTemplateClient.createRoomTemplateDraft -> createCreationDraft POST /api/creations,"loading (Saving... label), error (red saveMessage)",yes,working,,none,none,none,Create > Studio
/studio/create/room-template,Build a Story (room template) draft.,Story Identity section,Title,input,Text field bound to form.title.,components/studio/create/room-template/room-template-builder/RoomTemplateBuilder.view.jsx,unique,RoomTemplateBuilderShell,useRoomTemplateBuilderViewModel,local_state,write,,none,no,working,,none,no,,Create > Studio
/studio/create/room-template,Build a Story (room template) draft.,Story Identity section,Public Description,textarea,Textarea bound to form.public_description.,components/studio/create/room-template/room-template-builder/RoomTemplateBuilder.view.jsx,unique,RoomTemplateBuilderShell,useRoomTemplateBuilderViewModel,local_state,write,,none,no,working,,none,no,,Create > Studio
/studio/create/room-template,Build a Story (room template) draft.,Story Identity section,Story Mode,select,CrestfallSelect bound to form.room_mode from constants.roomModeOptions.,components/studio/create/room-template/room-template-builder/RoomTemplateBuilder.view.jsx,shared,RoomTemplateBuilderShell,useRoomTemplateBuilderViewModel,fixture,write,,none,no,working,,none,no,GROUP,Create > Studio
