target,file,section_path,control_label,control_type,default_value,required,validation,saves_via,handler_name,data_source,visible_when,notes
A,components/studio/create/character/CharacterCreator.jsx,Studio > Create > Character > Creator Shell,Character Template Modal (apply/close),modal-trigger,NONE,no,NONE visible in this file,"applyTemplate(template), defined in useCharacterCreatorViewModel.js, which calls setForm(current => applyCharacterTemplateToForm(current, template)) then setTemplateModalOpen(false). Merges template values into local wizard form state; not persisted to the backend until saveDraft runs.",onApply={applyTemplate}; onClose={() => setTemplateModalOpen(false)},characterTemplates data passed in as templates prop (from @/data/mocks/characterTemplates by default) merged via applyCharacterTemplateToForm from @/components/studio/characters/characterUtils; local state via setForm,templateModalOpen === true (opened via the Identity step's Use Template button),"CharacterTemplateModal.jsx itself, including its per-template list/selection controls, is outside this unit's file list; only the Shell-level onApply/onClose wiring is traceable here."
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Creator Shell,Back,button,NONE,no,NONE,"onBack prop = goBack (useCharacterCreatorViewModel.js), which sets activeStep to the previous step id; no data persistence",onClick={() => onBack?.()},local React state (activeStep) via CHARACTER_CREATOR_STEP_IDS array in CharacterCreator.contract.js,"ALWAYS, but disabled when activeIndex === 0 (on the Identity step)",NONE
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Creator Shell,Finish Draft →,button,NONE,no,NONE in this file,"onSave prop = saveDraft, same function as the Save Draft button (see that row)",onClick={() => onSave?.()},createCharacterDraft from @/lib/client/studio/characters/characterClient (stops at this boundary),"activeStep === ""review""; disabled while saveDisabled (saveStatus === ""saving"")","Label reads ""Saving..."" while saveStatus === ""saving""; this is functionally the same save action as the top Save Draft button, exposed a second time at the end of the review step."
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Creator Shell,Next,button,NONE,no,NONE,"onNext prop = goNext (useCharacterCreatorViewModel.js), which sets activeStep to the next step id; no data persistence",onClick={() => onNext?.()},local React state (activeStep) via CHARACTER_CREATOR_STEP_IDS array in CharacterCreator.contract.js,"activeStep !== ""review"" (Finish Draft renders instead on the review step)",NONE
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Creator Shell,Save Draft →,button,NONE,no,NONE in this file,"onSave prop = saveDraft (defined in useCharacterCreatorViewModel.js): builds a creation payload via buildCharacterCreationPayload(form), calls createDraft(creationPayload) (default createCharacterDraft), extracts the created character via extractCreationFromApiResponse, then router.push to the edit page for that creation ID.",onClick={() => onSave?.()},createCharacterDraft from @/lib/client/studio/characters/characterClient (stops at this boundary),"ALWAYS, but disabled while saveDisabled (true when saveStatus === ""saving"")","Label reads ""Saving..."" while saveStatus === ""saving""."
A,components/studio/create/character/character-creator/CharacterCreator.view.jsx,Studio > Create > Character > Creator Shell,Step navigation (Identity / Appearance / Body / Behavior / Review),button,"activeStep defaults to ""identity"" (useState in useCharacterCreatorViewModel.js)",no,NONE,"onSelectStep prop = setActiveStep (direct useState setter in useCharacterCreatorViewModel.js); purely navigational, does not persist form data itself","onClick={() => onSelectStep?.(step.id)}, repeated once per entry in stepItems (stepItems.map)",CHARACTER_CREATOR_STEPS from CharacterCreator.contract.js; local React state (activeStep),ALWAYS,"Repeatable render: stepItems.map renders one button per step (5 steps: identity, appearance, body, behavior, review); emitted here as a single row per instructions. Active/visited styling driven by buildCharacterCreatorStepItems in the contract file."
A,components/studio/create/character/AppearanceStep.jsx,Studio > Create > Character > Creator Shell > Appearance,Default Clothing (DefaultClothingSelector),modal-trigger,"UNKNOWN exact field default; likely form.js initialForm.default_clothing_mode = ""NONE"" plus related default_outfit_*/default_wardrobe_* keys",no,"UNKNOWN, not visible in this file",UNKNOWN exact field key(s). form/updateField passed through with no explicit field prop; DefaultClothingSelector.jsx is outside this unit.,updateField passed through as a prop,"UNKNOWN, likely one or more of default_clothing_mode/default_outfit_id/default_wardrobe_id fields in form.js, not confirmed",ALWAYS,Escalate for full trace of which form keys this control writes.
A,components/studio/create/character/AppearanceStep.jsx,Studio > Create > Character > Creator Shell > Appearance,Ethnic Appearance,modal-trigger,""""" (form.js initialForm.visual_heritage_reference)",no,NONE visible in this file; options constrained to visualHeritageReferenceOptions enum,"updateField(""visual_heritage_reference"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""visual_heritage_reference""; internal onChange call site is inside TraitModal.jsx, outside this unit",options from visualHeritageReferenceOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,"TraitModal.jsx itself, which renders the actual modal UI, is outside this unit's file list; field key is explicit here so saves_via is confirmed even though internal rendering is not."
A,components/studio/create/character/AppearanceStep.jsx,Studio > Create > Character > Creator Shell > Appearance,Eye Color (EyeColorModal),modal-trigger,"UNKNOWN exact field default; likely form.js initialForm.eye_color = """"",no,"UNKNOWN, not visible in this file","UNKNOWN exact field key, same pattern as SkinToneModal above; form/updateField passed through with no explicit field prop.",updateField passed through as a prop,"UNKNOWN, likely form.eye_color based on initialForm shape, not confirmed",ALWAYS,EyeColorModal.jsx is not one of this unit's files; escalate for full trace.
A,components/studio/create/character/AppearanceStep.jsx,Studio > Create > Character > Creator Shell > Appearance,Hair (HairModal),modal-trigger,"UNKNOWN exact field default; likely form.js initialForm.hair_color = """" and hair_style = """"",no,"UNKNOWN, not visible in this file","UNKNOWN exact field key(s), same pattern as SkinToneModal above.",updateField passed through as a prop,"UNKNOWN, likely form.hair_color / form.hair_style based on initialForm shape, not confirmed",ALWAYS,HairModal.jsx is not one of this unit's files; escalate for full trace. Name suggests it may write two fields (color and style) from one modal.
A,components/studio/create/character/AppearanceStep.jsx,Studio > Create > Character > Creator Shell > Appearance,Skin Tone (SkinToneModal),modal-trigger,"UNKNOWN exact field default; likely form.js initialForm.skin_tone = """"",no,"UNKNOWN, not visible in this file","UNKNOWN exact field key. form and updateField are passed through as props with no explicit field name, unlike TraitModal usages in this same file. Traced updateField up to setForm in useCharacterCreatorViewModel.js, but the specific form key SkinToneModal calls updateField with is defined inside SkinToneModal.jsx, which is outside this unit's file list.",updateField passed through as a prop; internal onChange/onClick not visible in this unit,"UNKNOWN, likely form.skin_tone based on initialForm shape, not confirmed",ALWAYS,SkinToneModal.jsx is not one of this unit's files; escalate for full trace.
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior,Interests,modal-trigger,""""" (form.js initialForm.interests, a plain string default)",no,NONE visible in this file; options constrained to interestOptions enum,"updateField(""interests"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""interests""",options from interestOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,"initialForm.interests defaults to a string, not an array, though interestOptions reads like a multi-select taxonomy; whether TraitModal here is single-select or writes a delimited string could not be confirmed without TraitModal.jsx, which is outside this unit. See escalations."
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior,Internal Personality,modal-trigger,""""" (form.js initialForm.internal_personality)",no,NONE visible in this file,"updateField(""internal_personality"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""internal_personality""",local React state (setForm); persistence via createCharacterDraft,ALWAYS,PersonalityModal.jsx is outside this unit's file list.
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior,Movement Style,modal-trigger,"NONE. There is no movement_style key in constants/form.js initialForm, so form.movement_style is undefined until set.",no,NONE visible in this file; options constrained to movementStyleOptions enum,"updateField(""movement_style"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""movement_style""",options from movementStyleOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,Missing default in constants/form.js unlike every sibling TraitModal field; see escalations.
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior,Outward Personality,modal-trigger,""""" (form.js initialForm.outward_personality)",no,NONE visible in this file,"updateField(""outward_personality"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""outward_personality""",local React state (setForm); persistence via createCharacterDraft,ALWAYS,PersonalityModal.jsx is outside this unit's file list.
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior,Philosophy,textarea,""""" (form.js initialForm.philosophy)",no,NONE,"updateField(""philosophy"", value) into local form state, persisted on saveDraft","onChange={(value) => updateField(""philosophy"", value)}",local React state (setForm); persistence via createCharacterDraft,ALWAYS,"TextAreaField is defined in CharacterCreatorUtils.jsx, inside this unit; placeholder text present, rows=4, resize disabled."
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior,Speech Style,modal-trigger,""""" (form.js initialForm.speech_style)",no,NONE visible in this file; options constrained to speechStyleOptions enum,"updateField(""speech_style"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""speech_style""",options from speechStyleOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,NONE
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior,Verbosity,select,"""3"" (form.js initialForm.verbosity_level, matches ""3 - Balanced"")",no,"Options limited to enum values ""1"" through ""5"" defined inline in this file","updateField(""verbosity_level"", value) into local form state, persisted on saveDraft","onChange={(value) => updateField(""verbosity_level"", value)}","options array literal inline in BehaviorStep.jsx (values ""1""-""5""); local state via setForm; persistence via createCharacterDraft",ALWAYS,"CrestfallSelect component itself is outside this unit's file list, but the option list is defined here."
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior,Voice Modules (attach one or more reusable tone/emphasis/accent/dialogue modules),tag-picker,[] (coerced at render time in BehaviorStep.jsx via Array.isArray(form.voice_module_ids) ? form.voice_module_ids : []; there is no voice_module_ids key in constants/form.js initialForm),no,NONE visible in this file,"updateField(""voice_module_ids"", nextVoiceModuleIds) into local form state, persisted on saveDraft","onChange={(nextVoiceModuleIds) => updateField(""voice_module_ids"", nextVoiceModuleIds)}",options from voiceModuleOptions in constants/voiceModules.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,"Multi-select modal (VoiceModulePickerModal), component file outside this unit; value/onChange contract is fully traceable from this file though."
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior > Optional Personality Frameworks,East Asian Zodiac,modal-trigger,""""" (form.js initialForm.east_asian_zodiac_sign)",no,NONE visible in this file; options constrained to eastAsianZodiacOptions enum,"updateField(""east_asian_zodiac_sign"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""east_asian_zodiac_sign""",options from eastAsianZodiacOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,NONE
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior > Optional Personality Frameworks,MBTI Personality Type,modal-trigger,""""" (form.js initialForm.mbti_type)",no,NONE visible in this file; options constrained to mbtiTypeOptions enum,"updateField(""mbti_type"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""mbti_type""",options from mbtiTypeOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,Explicitly labeled optional; TraitModal.jsx internal rendering outside this unit.
A,components/studio/create/character/BehaviorStep.jsx,Studio > Create > Character > Creator Shell > Behavior > Optional Personality Frameworks,Western Zodiac,modal-trigger,""""" (form.js initialForm.western_zodiac_sign)",no,NONE visible in this file; options constrained to westernZodiacOptions enum,"updateField(""western_zodiac_sign"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""western_zodiac_sign""",options from westernZodiacOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,NONE
A,components/studio/create/character/BodyStep.jsx,Studio > Create > Character > Creator Shell > Body,Body Type,modal-trigger,""""" (form.js initialForm.body_type)",no,NONE visible in this file; options constrained to bodyTypeOptions enum,"updateField(""body_type"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""body_type""",options from bodyTypeOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,NONE
A,components/studio/create/character/BodyStep.jsx,Studio > Create > Character > Creator Shell > Body,Build,modal-trigger,""""" (form.js initialForm.build)",no,NONE visible in this file; options constrained to buildOptions enum,"updateField(""build"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""build""",options from buildOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,NONE
A,components/studio/create/character/BodyStep.jsx,Studio > Create > Character > Creator Shell > Body,Custom Body Notes,textarea,""""" (form.js initialForm.body_notes)",no,NONE,"updateField(""body_notes"", value) into local form state, persisted on saveDraft","onChange={(value) => updateField(""body_notes"", value)}",local React state (setForm); persistence via createCharacterDraft,ALWAYS,"TextAreaField from CharacterCreatorUtils.jsx, inside this unit."
A,components/studio/create/character/BodyStep.jsx,Studio > Create > Character > Creator Shell > Body,Height,modal-trigger,""""" (form.js initialForm.height)",no,NONE visible in this file; options constrained to heightOptions enum,"updateField(""height"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""height""",options from heightOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,NONE
A,components/studio/create/character/BodyStep.jsx,Studio > Create > Character > Creator Shell > Body,Kibbe Preset (KibbePresetModal),modal-trigger,""""" (form.js initialForm.kibbe_identity, likely; plus possible cascading writes to body_type/build/height/proportions per kibbeIdentityOptions.suggestions in constants.js)",no,"UNKNOWN, not visible in this file",UNKNOWN exact field key(s). form/updateField passed through with no explicit field prop; KibbePresetModal.jsx is outside this unit.,updateField passed through as a prop,"UNKNOWN, likely kibbe_identity plus a suggestions-driven cascade into body_type/build/height/proportions per constants/constants.js kibbeIdentityOptions, not confirmed",ALWAYS,"constants.js defines a kibbeIdentityOptions.suggestions object per preset (body_type/build/height/proportions), suggesting this control may write multiple fields at once, but the actual write logic is inside KibbePresetModal.jsx, outside this unit. Escalate for full trace."
A,components/studio/create/character/BodyStep.jsx,Studio > Create > Character > Creator Shell > Body,Proportions,tag-picker,""""" (form.js initialForm.proportions, a plain string default)",no,"NONE visible in this file; options constrained to proportionOptions enum, some flagged exclusive: true in constants.js","updateField(""proportions"", value) into local form state, persisted on saveDraft","updateField passed as prop with explicit field=""proportions""",options from proportionOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,"MultiTraitModal component name and description (""select multiple compatible traits"") imply a multi-select, but initialForm.proportions defaults to a string, not an array; actual value shape written could not be confirmed without MultiTraitModal.jsx, which is outside this unit. See escalations."
A,components/studio/create/character/IdentityStep.jsx,Studio > Create > Character > Creator Shell > Identity,Character Color Palette,color-picker,"""CRESTFALL_DEFAULT"" (form.js initialForm.character_color_palette_id)",no,NONE visible in this file,"updateField(""character_color_palette_id"", value) into local form state, persisted on saveDraft","inline onChange calling updateField(""character_color_palette_id"", value)",palette list from CHARACTER_COLOR_PALETTES in constants/characterColorPalettes.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,CharacterColorPaletteModal component itself is outside this unit's file list.
A,components/studio/create/character/IdentityStep.jsx,Studio > Create > Character > Creator Shell > Identity,Custom Gender Presentation,text,""""" (form.js initialForm.custom_gender_presentation)",no,Truncated to CUSTOM_APPEARANCE_VALUE_MAX_LENGTH (160 chars),"updateField(""custom_gender_presentation"", truncated value) into local form state, persisted on saveDraft","inline onChange calling updateField(""custom_gender_presentation"", value.slice(0, CUSTOM_APPEARANCE_VALUE_MAX_LENGTH))",local React state (setForm); persistence via createCharacterDraft,"form.gender_presentation === ""CUSTOM""",NONE
A,components/studio/create/character/IdentityStep.jsx,Studio > Create > Character > Creator Shell > Identity,Custom Species,text,""""" (form.js initialForm.custom_species)",no,"Truncated to CUSTOM_APPEARANCE_VALUE_MAX_LENGTH (160 chars) via value.slice(0, 160) before updateField","updateField(""custom_species"", truncated value) into local form state, persisted on saveDraft","inline onChange calling updateField(""custom_species"", value.slice(0, CUSTOM_APPEARANCE_VALUE_MAX_LENGTH))",local React state (setForm); persistence via createCharacterDraft,"form.species === ""CUSTOM""",NONE
A,components/studio/create/character/IdentityStep.jsx,Studio > Create > Character > Creator Shell > Identity,Gender Presentation,select,""""" (form.js initialForm.gender_presentation)",no,NONE,"updateField(""gender_presentation"", value) into local form state, persisted on saveDraft","inline onChange calling updateField(""gender_presentation"", value)",options from genderPresentationOptions in constants/constants.js; local state via setForm; persistence via createCharacterDraft,ALWAYS,NONE
