status,flow,category,backend_value,filename,used_by_surface,tile_art,crop_type,aspect,px_width,px_height,format,max_kb,notes
VERIFIED,Character Creation,Body Identity Kibbe,FLAMBOYANT_NATURAL,body_identity_kibbe_FLAMBOYANT_NATURAL.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Body Identity Kibbe,SOFT_NATURAL,body_identity_kibbe_SOFT_NATURAL.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Body Identity Kibbe,DRAMATIC_CLASSIC,body_identity_kibbe_DRAMATIC_CLASSIC.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Body Identity Kibbe,SOFT_CLASSIC,body_identity_kibbe_SOFT_CLASSIC.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Body Identity Kibbe,FLAMBOYANT_GAMINE,body_identity_kibbe_FLAMBOYANT_GAMINE.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Body Identity Kibbe,SOFT_GAMINE,body_identity_kibbe_SOFT_GAMINE.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Body Identity Kibbe,THEATRICAL_ROMANTIC,body_identity_kibbe_THEATRICAL_ROMANTIC.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Body Identity Kibbe,ROMANTIC,body_identity_kibbe_ROMANTIC.webp,SilhouetteStop + KibbePresetModal,required,full_body,2:3,600,900,webp,80,"Same base, same pose; only frame and line change per Kibbe type"
VERIFIED,Character Creation,Hair Length,BALD_SHAVED,hair_length_BALD_SHAVED.webp,stops More hair fold + HairModal + HairEyesModal (shared values),required,head_crop,1:1,512,512,webp,40,Text pills today; one asset per backend value serves every surface using it
VERIFIED,Character Creation,Hair Length,VERY_SHORT,hair_length_VERY_SHORT.webp,stops More hair fold + HairModal + HairEyesModal (shared values),required,head_crop,1:1,512,512,webp,40,Text pills today; one asset per backend value serves every surface using it
VERIFIED,Character Creation,Hair Length,SHORT,hair_length_SHORT.webp,stops More hair fold + HairModal + HairEyesModal (shared values),required,head_crop,1:1,512,512,webp,40,Text pills today; one asset per backend value serves every surface using it
VERIFIED,Character Creation,Hair Length,SHOULDER_LENGTH,hair_length_SHOULDER_LENGTH.webp,stops More hair fold + HairModal + HairEyesModal (shared values),required,head_crop,1:1,512,512,webp,40,Text pills today; one asset per backend value serves every surface using it
VERIFIED,Character Creation,Hair Length,MEDIUM,hair_length_MEDIUM.webp,stops More hair fold + HairModal + HairEyesModal (shared values),required,head_crop,1:1,512,512,webp,40,Text pills today; one asset per backend value serves every surface using it
VERIFIED,Character Creation,Hair Length,LONG,hair_length_LONG.webp,stops More hair fold + HairModal + HairEyesModal (shared values),required,head_crop,1:1,512,512,webp,40,Text pills today; one asset per backend value serves every surface using it
VERIFIED,Character Creation,Hair Length,VERY_LONG,hair_length_VERY_LONG.webp,stops More hair fold + HairModal + HairEyesModal (shared values),required,head_crop,1:1,512,512,webp,40,Text pills today; one asset per backend value serves every surface using it
VERIFIED,Character Creation,Hair Length,FLOOR_LENGTH,hair_length_FLOOR_LENGTH.webp,stops More hair fold + HairModal + HairEyesModal (shared values),required,head_crop,1:1,512,512,webp,40,Text pills today; one asset per backend value serves every surface using it
VERIFIED,Character Creation,Hair Texture,STRAIGHT,hair_texture_STRAIGHT.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Texture,WAVY,hair_texture_WAVY.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Texture,CURLY,hair_texture_CURLY.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Texture,COILY,hair_texture_COILY.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Texture,MESSY,hair_texture_MESSY.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Texture,WILD,hair_texture_WILD.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Texture,FLOATING,hair_texture_FLOATING.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Texture,VOLUMINOUS,hair_texture_VOLUMINOUS.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Texture,SPIKY,hair_texture_SPIKY.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard length (SHOULDER_LENGTH) so only texture reads
VERIFIED,Character Creation,Hair Style,LOOSE,hair_style_LOOSE.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,BANGS,hair_style_BANGS.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,SIDE_BANGS,hair_style_SIDE_BANGS.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,PONYTAIL,hair_style_PONYTAIL.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,TWIN_TAILS,hair_style_TWIN_TAILS.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,BRAIDED,hair_style_BRAIDED.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,BUN,hair_style_BUN.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,BOB,hair_style_BOB.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,PIXIE,hair_style_PIXIE.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,HIME_CUT,hair_style_HIME_CUT.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,UNDERCUT,hair_style_UNDERCUT.webp,stops + HairModal + HairEyesModal,required,head_crop,1:1,512,512,webp,40,One standard color and length so only style reads
VERIFIED,Character Creation,Hair Style,BALD,hair_style_BALD.webp,HairEyesModal merged set only,required,head_crop,1:1,512,512,webp,40,FLAG: HairEyesModal uses BALD where HairModal uses BALD_SHAVED; needs one canonical value or an alias map
VERIFIED,Character Creation,Hair,CUSTOM,hair_CUSTOM.webp,all hair surfaces,ui_treatment,n/a,n/a,0,0,webp,0,UI tile only
VERIFIED,Character Creation,Body Type,SLIM,body_type_SLIM.webp,TraitModal (advanced),required,full_body,2:3,600,900,webp,80,Real bodyTypeOptions from constants; fixtures list is stale (flagged)
VERIFIED,Character Creation,Body Type,ATHLETIC,body_type_ATHLETIC.webp,TraitModal (advanced),required,full_body,2:3,600,900,webp,80,Real bodyTypeOptions from constants; fixtures list is stale (flagged)
VERIFIED,Character Creation,Body Type,CURVY,body_type_CURVY.webp,TraitModal (advanced),required,full_body,2:3,600,900,webp,80,Real bodyTypeOptions from constants; fixtures list is stale (flagged)
VERIFIED,Character Creation,Body Type,MUSCULAR,body_type_MUSCULAR.webp,TraitModal (advanced),required,full_body,2:3,600,900,webp,80,Real bodyTypeOptions from constants; fixtures list is stale (flagged)
VERIFIED,Character Creation,Body Type,HEAVYSET,body_type_HEAVYSET.webp,TraitModal (advanced),required,full_body,2:3,600,900,webp,80,Real bodyTypeOptions from constants; fixtures list is stale (flagged)
VERIFIED,Character Creation,Body Type,LITHE,body_type_LITHE.webp,TraitModal (advanced),required,full_body,2:3,600,900,webp,80,Real bodyTypeOptions from constants; fixtures list is stale (flagged)
VERIFIED,Character Creation,Body Type,LEAN,body_type_LEAN.webp,TraitModal (advanced),required,full_body,2:3,600,900,webp,80,Real bodyTypeOptions from constants; fixtures list is stale (flagged)
VERIFIED,Character Creation,Body Type,STOCKY,body_type_STOCKY.webp,TraitModal (advanced),required,full_body,2:3,600,900,webp,80,Real bodyTypeOptions from constants; fixtures list is stale (flagged)
VERIFIED,Character Creation,Body Type,CUSTOM,body_type_CUSTOM.webp,TraitModal,ui_treatment,n/a,n/a,0,0,webp,0,UI tile only
VERIFIED,Character Creation,Proportions,BALANCED,proportions_BALANCED.webp,MultiTraitModal (advanced),optional,full_body,2:3,600,900,webp,80,Could stay text or use simplified silhouette diagrams; second tier
VERIFIED,Character Creation,Proportions,BROAD_SHOULDERS,proportions_BROAD_SHOULDERS.webp,MultiTraitModal (advanced),optional,full_body,2:3,600,900,webp,80,Could stay text or use simplified silhouette diagrams; second tier
VERIFIED,Character Creation,Proportions,NARROW_WAIST,proportions_NARROW_WAIST.webp,MultiTraitModal (advanced),optional,full_body,2:3,600,900,webp,80,Could stay text or use simplified silhouette diagrams; second tier
VERIFIED,Character Creation,Proportions,WIDE_HIPS,proportions_WIDE_HIPS.webp,MultiTraitModal (advanced),optional,full_body,2:3,600,900,webp,80,Could stay text or use simplified silhouette diagrams; second tier
VERIFIED,Character Creation,Proportions,FULL_CHEST_BUST,proportions_FULL_CHEST_BUST.webp,MultiTraitModal (advanced),optional,full_body,2:3,600,900,webp,80,Could stay text or use simplified silhouette diagrams; second tier
VERIFIED,Character Creation,Proportions,STRAIGHT_FRAME,proportions_STRAIGHT_FRAME.webp,MultiTraitModal (advanced),optional,full_body,2:3,600,900,webp,80,Could stay text or use simplified silhouette diagrams; second tier
VERIFIED,Character Creation,Proportions,CUSTOM,proportions_CUSTOM.webp,MultiTraitModal,ui_treatment,n/a,n/a,0,0,webp,0,UI tile only
VERIFIED,Image Generation,Render Style,crestfall_fantasy,render_style_crestfall_fantasy.webp,KitImageCreatorPanel style rail,required,style_preview,4:3,640,480,webp,60,Same subject rendered in each style so the tile shows exactly what the style does; highest leverage tiles in the set
VERIFIED,Image Generation,Render Style,crestfall_realistic,render_style_crestfall_realistic.webp,KitImageCreatorPanel style rail,required,style_preview,4:3,640,480,webp,60,Same subject rendered in each style so the tile shows exactly what the style does; highest leverage tiles in the set
VERIFIED,Image Generation,Render Style,crestfall_anime_anime,render_style_crestfall_anime_anime.webp,KitImageCreatorPanel style rail,required,style_preview,4:3,640,480,webp,60,Same subject rendered in each style so the tile shows exactly what the style does; highest leverage tiles in the set
VERIFIED,Image Generation,Render Style,crestfall_fantasy_realistic,render_style_crestfall_fantasy_realistic.webp,KitImageCreatorPanel style rail,required,style_preview,4:3,640,480,webp,60,Same subject rendered in each style so the tile shows exactly what the style does; highest leverage tiles in the set
VERIFIED,Image Generation,Render Style,crestfall_realistic_fantasy,render_style_crestfall_realistic_fantasy.webp,KitImageCreatorPanel style rail,required,style_preview,4:3,640,480,webp,60,Same subject rendered in each style so the tile shows exactly what the style does; highest leverage tiles in the set
VERIFIED,Image Generation,Render Style,auto,render_style_auto.webp,KitImageCreatorPanel,ui_treatment,n/a,n/a,0,0,webp,0,Auto gets a UI tile
VERIFIED,Image Generation,Wardrobe Theme,CASUAL,wardrobe_theme_CASUAL.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,FORMAL,wardrobe_theme_FORMAL.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,WORK,wardrobe_theme_WORK.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,TRAVEL,wardrobe_theme_TRAVEL.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,COMBAT,wardrobe_theme_COMBAT.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,SLEEPWEAR,wardrobe_theme_SLEEPWEAR.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,CEREMONIAL,wardrobe_theme_CEREMONIAL.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,DISGUISE,wardrobe_theme_DISGUISE.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,SEASONAL,wardrobe_theme_SEASONAL.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,SPECIAL,wardrobe_theme_SPECIAL.webp,KitImageCreatorPanel dropdown,optional,full_body,2:3,600,900,webp,80,Dropdown today; tiles would upgrade it. SFW ceiling applies. AUTO and DEFAULT get UI treatment
VERIFIED,Image Generation,Wardrobe Theme,AUTO,wardrobe_theme_AUTO.webp,KitImageCreatorPanel,ui_treatment,n/a,n/a,0,0,webp,0,UI tiles only
VERIFIED,Image Generation,Wardrobe Theme,DEFAULT,wardrobe_theme_DEFAULT.webp,KitImageCreatorPanel,ui_treatment,n/a,n/a,0,0,webp,0,UI tiles only
PROPOSED,Image Generation,Pose Library,STANDING_NEUTRAL,pose_library_STANDING_NEUTRAL.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,ARMS_CROSSED,pose_library_ARMS_CROSSED.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,HAND_ON_HIP,pose_library_HAND_ON_HIP.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,WALKING,pose_library_WALKING.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,SITTING,pose_library_SITTING.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,LEANING,pose_library_LEANING.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,KNEELING,pose_library_KNEELING.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,COMBAT_READY,pose_library_COMBAT_READY.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,SPELLCASTING,pose_library_SPELLCASTING.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,LOOKING_BACK,pose_library_LOOKING_BACK.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,READING,pose_library_READING.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
PROPOSED,Image Generation,Pose Library,PORTRAIT_BUST,pose_library_PORTRAIT_BUST.webp,"KitIngredientPicker POSE_ITEMS (backend-fed; picker verified, this list is a proposal)",required,full_body,2:3,600,900,webp,80,"No static pose list exists anywhere in FE; /studio/create/pose is dropdown-only. This is a proposed system starter library, needs Brian GO and Nick contract confirm"
DESIGN,All pages,Page Banner,home_desktop,banner_home_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,home_mobile,banner_home_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
DESIGN,All pages,Page Banner,stories_desktop,banner_stories_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,stories_mobile,banner_stories_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
DESIGN,All pages,Page Banner,adventures_desktop,banner_adventures_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,adventures_mobile,banner_adventures_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
DESIGN,All pages,Page Banner,studio_desktop,banner_studio_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,studio_mobile,banner_studio_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
DESIGN,All pages,Page Banner,images_desktop,banner_images_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,images_mobile,banner_images_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
DESIGN,All pages,Page Banner,vault_desktop,banner_vault_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,vault_mobile,banner_vault_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
DESIGN,All pages,Page Banner,community_desktop,banner_community_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,community_mobile,banner_community_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
DESIGN,All pages,Page Banner,creators_desktop,banner_creators_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,creators_mobile,banner_creators_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
DESIGN,All pages,Page Banner,lore_desktop,banner_lore_desktop.webp,"Journey loop banner, bottom of page",required,full_width_banner,16:5,2400,750,webp,250,"Text lives in HTML overlay, never baked into the image"
DESIGN,All pages,Page Banner,lore_mobile,banner_lore_mobile.webp,"Journey loop banner, bottom of page",required,full_width_banner,4:3,828,620,webp,120,"Mobile crop of the same art, safe zone centered"
